season,player_id,player,team,gp,mpg,ppg,rpg,apg,spg,bpg,jersey,all_nba,all_defense,champion,mvp,dpoy,roy
2025-26,1628381,John Collins,LAC,69,27.1,13.6,5.3,1.0,0.9,0.7,20,,,False,False,False,False
2025-26,1641757,Jordan Miller,LAC,60,22.1,10.0,3.0,2.3,0.8,0.2,22,,,False,False,False,False
2025-26,202695,Kawhi Leonard,LAC,65,32.1,27.9,6.4,3.6,1.9,0.4,2,2,,False,False,False,False
2025-26,1642920,Kobe Sanders,LAC,68,19.9,7.3,2.2,1.6,0.7,0.1,4,,,False,False,False,False
2025-26,1627739,Kris Dunn,LAC,82,27.2,7.3,3.3,3.6,1.6,0.2,8,,,False,False,False,False
2025-26,201587,Nicolas Batum,LAC,74,17.5,4.0,2.5,0.9,0.6,0.3,33,,,False,False,False,False
2025-26,1642949,Yanic Konan Niederhäuser,LAC,41,10.3,4.3,2.9,0.3,0.1,0.7,14,,,False,False,False,False
2025-26,1630559,Austin Reaves,LAL,51,34.5,23.3,4.7,5.5,1.1,0.4,15,,,False,False,False,False
2025-26,1642261,Dalton Knecht,LAL,54,10.2,4.2,1.4,0.4,0.2,0.2,4,,,False,False,False,False
2025-26,1629028,Deandre Ayton,LAL,72,27.2,12.5,8.0,0.8,0.6,1.0,5,,,False,False,False,False
2025-26,1629216,Gabe Vincent,LAL,29,19.3,4.8,0.9,1.3,0.5,0.0,7,,,False,False,False,False
2025-26,1631222,Jake LaRavia,LAL,82,25.1,8.2,4.0,1.8,1.3,0.5,12,,,False,False,False,False
2025-26,1629020,Jarred Vanderbilt,LAL,65,17.4,4.4,4.5,1.3,0.8,0.3,2,,,False,False,False,False
2025-26,1629637,Jaxson Hayes,LAL,66,18.3,7.5,4.1,0.9,0.4,0.8,11,,,False,False,False,False
2025-26,2544,LeBron James,LAL,60,33.2,20.9,6.1,7.2,1.2,0.6,23,,,False,False,False,False
2025-26,1629029,Luka Dončić,LAL,64,35.8,33.5,7.7,8.3,1.6,0.5,77,1,,False,False,False,False
2025-26,1628379,Luke Kennard,LAL,32,23.0,9.0,2.6,2.4,0.7,0.1,10,,,False,False,False,False
2025-26,203935,Marcus Smart,LAL,62,28.5,9.3,2.8,3.0,1.4,0.4,36,,,False,False,False,False
2025-26,1628467,Maxi Kleber,LAL,43,10.7,2.0,2.0,0.6,0.4,0.3,14,,,False,False,False,False
2025-26,1641733,Nick Smith Jr.,LAL,30,12.5,6.2,0.8,1.0,0.3,0.1,20,,,False,False,False,False
2025-26,1629060,Rui Hachimura,LAL,68,28.3,11.5,3.3,0.8,0.6,0.3,28,,,False,False,False,False
2025-26,1642285,Cam Spencer,MEM,72,23.8,11.1,2.5,5.6,0.7,0.2,24,,,False,False,False,False
2025-26,1642907,Cedric Coward,MEM,62,25.8,13.6,5.9,2.8,0.6,0.4,23,,,False,False,False,False
2025-26,1641713,GG Jackson,MEM,55,21.4,12.5,4.3,1.5,0.6,0.8,45,,,False,False,False,False
2025-26,1629630,Ja Morant,MEM,20,28.4,19.4,3.2,8.1,1.0,0.3,12,,,False,False,False,False
2025-26,1642942,Jahmai Mashack,MEM,31,21.7,6.2,2.6,2.2,1.2,0.5,21,,,False,False,False,False
2025-26,1628991,Jaren Jackson Jr.,MEM,45,30.7,19.2,5.8,1.9,1.0,1.5,8,,,False,False,False,False
2025-26,1642914,Javon Small,MEM,41,20.2,9.7,3.1,3.7,0.8,0.2,10,,,False,False,False,False
2025-26,1642377,Jaylen Wells,MEM,69,26.4,12.5,3.2,1.6,0.9,0.1,0,,,False,False,False,False
